experiment,condition,subject,block,p,nll,bic,model
1,new_learn,6,6,52.11932471839602,70.74430504323459,155.30412064443345,nll_gcc_eq_1
1,new_learn,6,6,0.00951475481807762,70.74430504323459,155.30412064443345,nll_gcc_eq_1
1,new_learn,6,6,39.093319891141704,70.74430504323459,155.30412064443345,nll_gcc_eq_1
1,new_learn,6,6,0.012004510567933835,47.90032665308961,109.61616386414349,nll_gcc_eq_2
1,new_learn,6,6,45.1556193607018,47.90032665308961,109.61616386414349,nll_gcc_eq_2
1,new_learn,6,6,21.295325793157115,47.90032665308961,109.61616386414349,nll_gcc_eq_2
1,new_learn,6,6,83.5521748470289,43.29106289247656,100.3976363429174,nll_gcc_eq_3
1,new_learn,6,6,52.008582319790555,43.29106289247656,100.3976363429174,nll_gcc_eq_3
1,new_learn,6,6,20.488364078763308,43.29106289247656,100.3976363429174,nll_gcc_eq_3
1,new_learn,10,0,0.9305765844492733,68.62157087543459,137.24314175086917,nll_rand_guess
1,new_learn,10,0,0.545835597090068,68.21194360114787,141.02905738828383,nll_bias_guess
1,new_learn,10,0,52.58425235132016,89.06318330851829,187.33670698901275,nll_unix_0
1,new_learn,10,0,38.31599644193075,89.06318330851829,187.33670698901275,nll_unix_0
1,new_learn,10,0,41.55336040793226,69.77783763454764,148.76601564107145,nll_unix_1
1,new_learn,10,0,38.31551380525892,69.77783763454764,148.76601564107145,nll_unix_1
1,new_learn,10,0,52.07945038118774,76.10796752830481,161.4262754285858,nll_uniy_0
1,new_learn,10,0,38.31673360718092,76.10796752830481,161.4262754285858,nll_uniy_0
1,new_learn,10,0,42.78009454719075,86.94039245896272,183.0911252899016,nll_uniy_1
1,new_learn,10,0,38.31763977934804,86.94039245896272,183.0911252899016,nll_uniy_1
1,new_learn,10,0,-0.8368015966579756,65.77993522123688,145.37538100043804,nll_glc_0
1,new_learn,10,0,8.786472326708303,65.77993522123688,145.37538100043804,nll_glc_0
1,new_learn,10,0,38.31771477159313,65.77993522123688,145.37538100043804,nll_glc_0
1,new_learn,10,0,0.9999998348000709,69.8053136001574,153.42613775827908,nll_glc_1
1,new_learn,10,0,-41.39969493006053,69.8053136001574,153.42613775827908,nll_glc_1
1,new_learn,10,0,38.258474273983495,69.8053136001574,153.42613775827908,nll_glc_1
1,new_learn,10,0,34.350627662700305,73.27390811229341,160.3633267825511,nll_gcc_eq_0
1,new_learn,10,0,0.004516109060872964,73.27390811229341,160.3633267825511,nll_gcc_eq_0
1,new_learn,10,0,38.31796138077361,73.27390811229341,160.3633267825511,nll_gcc_eq_0
1,new_learn,10,0,80.02806143975158,85.76244989751672,185.3404103529977,nll_gcc_eq_1
1,new_learn,10,0,19.831745762565745,85.76244989751672,185.3404103529977,nll_gcc_eq_1
1,new_learn,10,0,38.31782973913545,85.76244989751672,185.3404103529977,nll_gcc_eq_1
1,new_learn,10,0,30.230385262619475,67.74925182708222,149.3140142121287,nll_gcc_eq_2
1,new_learn,10,0,94.54252235231436,67.74925182708222,149.3140142121287,nll_gcc_eq_2
1,new_learn,10,0,38.305347116198114,67.74925182708222,149.3140142121287,nll_gcc_eq_2
1,new_learn,10,0,99.92801084174212,79.62818324919274,173.07187705634976,nll_gcc_eq_3
1,new_learn,10,0,59.56850962333983,79.62818324919274,173.07187705634976,nll_gcc_eq_3
1,new_learn,10,0,38.315588262857595,79.62818324919274,173.07187705634976,nll_gcc_eq_3
1,new_learn,12,2,0.35837908567848187,69.31471805599453,138.62943611198907,nll_rand_guess
1,new_learn,12,2,0.5301104241516443,69.13461234772709,142.87439488144227,nll_bias_guess
1,new_learn,12,2,53.57035832250217,119.42214628598268,248.05463294394153,nll_unix_0
1,new_learn,12,2,35.30695196078567,119.42214628598268,248.05463294394153,nll_unix_0
1,new_learn,12,2,49.04885626067017,51.84798802561669,112.90631642320956,nll_unix_1
1,new_learn,12,2,29.31200221156925,51.84798802561669,112.90631642320956,nll_unix_1
1,new_learn,12,2,50.03088307772029,71.8977297057753,153.00579978352678,nll_uniy_0
1,new_learn,12,2,35.30878630864797,71.8977297057753,153.00579978352678,nll_uniy_0
1,new_learn,12,2,45.57713335459317,95.87740135363254,200.96514307924124,nll_uniy_1
1,new_learn,12,2,35.30698078101837,95.87740135363254,200.96514307924124,nll_uniy_1
1,new_learn,12,2,-0.8579742721307761,41.90052043918136,97.616551436327,nll_glc_0
1,new_learn,12,2,16.44001718935275,41.90052043918136,97.616551436327,nll_glc_0
1,new_learn,12,2,18.78112121252204,41.90052043918136,97.616551436327,nll_glc_0
1,new_learn,12,2,0.9999999146316676,51.868755217278256,117.55302099252079,nll_glc_1
1,new_learn,12,2,-49.56669133554801,51.868755217278256,117.55302099252079,nll_glc_1
1,new_learn,12,2,29.32101495193966,51.868755217278256,117.55302099252079,nll_glc_1
1,new_learn,12,2,48.128633451127584,56.89407344002841,127.60365743802109,nll_gcc_eq_0
1,new_learn,12,2,0.0134905086880579,56.89407344002841,127.60365743802109,nll_gcc_eq_0
1,new_learn,12,2,24.621432138886327,56.89407344002841,127.60365743802109,nll_gcc_eq_0
1,new_learn,12,2,99.96344345851952,93.28497574739002,200.38546205274432,nll_gcc_eq_1
1,new_learn,12,2,32.57071261071191,93.28497574739002,200.38546205274432,nll_gcc_eq_1
1,new_learn,12,2,35.307248156014325,93.28497574739002,200.38546205274432,nll_gcc_eq_1
1,new_learn,12,2,39.624358401404606,39.42418018196761,92.66387092189949,nll_gcc_eq_2
1,new_learn,12,2,80.14062334893976,39.42418018196761,92.66387092189949,nll_gcc_eq_2
1,new_learn,12,2,15.902982813495877,39.42418018196761,92.66387092189949,nll_gcc_eq_2
1,new_learn,12,2,99.99136908288375,81.49751275409193,176.81053606614813,nll_gcc_eq_3
1,new_learn,12,2,52.49053653994552,81.49751275409193,176.81053606614813,nll_gcc_eq_3
1,new_learn,12,2,35.30689737384452,81.49751275409193,176.81053606614813,nll_gcc_eq_3
1,new_learn,14,6,0.6551334111195423,67.23527651431469,134.47055302862938,nll_rand_guess
1,new_learn,14,6,0.504937992586347,67.23013089027756,139.06543196654323,nll_bias_guess
1,new_learn,14,6,48.626251128267874,88.37097240496803,185.95228518191223,nll_unix_0
1,new_learn,14,6,38.871891722796434,88.37097240496803,185.95228518191223,nll_unix_0
1,new_learn,14,6,46.61114222567301,65.16315688375147,139.5366541394791,nll_unix_1
1,new_learn,14,6,38.84913066000655,65.16315688375147,139.5366541394791,nll_unix_1
1,new_learn,14,6,50.66772026242551,44.75345780745255,98.71725598688128,nll_uniy_0
1,new_learn,14,6,23.282956244706526,44.75345780745255,98.71725598688128,nll_uniy_0
1,new_learn,14,6,50.8385652494399,112.1757754655093,233.56189130299478,nll_uniy_1
1,new_learn,14,6,38.87385800562902,112.1757754655093,233.56189130299478,nll_uniy_1
1,new_learn,14,6,-0.07765576819547304,44.62691917939444,103.06934891675316,nll_glc_0
1,new_learn,14,6,-46.8472669861012,44.62691917939444,103.06934891675316,nll_glc_0
1,new_learn,14,6,23.845294000321324,44.62691917939444,103.06934891675316,nll_glc_0
1,new_learn,14,6,0.9999999273914963,65.1733848449598,144.16228024788387,nll_glc_1
1,new_learn,14,6,-46.71472344304582,65.1733848449598,144.16228024788387,nll_glc_1
1,new_learn,14,6,38.843357650025084,65.1733848449598,144.16228024788387,nll_glc_1
1,new_learn,14,6,42.4595338308828,72.11596049604542,158.0474315500551,nll_gcc_eq_0
1,new_learn,14,6,0.006066339675243171,72.11596049604542,158.0474315500551,nll_gcc_eq_0
1,new_learn,14,6,36.553364053704215,72.11596049604542,158.0474315500551,nll_gcc_eq_0
1,new_learn,14,6,53.58241540030764,95.18721172527952,204.18993400852332,nll_gcc_eq_1
1,new_learn,14,6,0.08726631709247812,95.18721172527952,204.18993400852332,nll_gcc_eq_1
1,new_learn,14,6,38.85461346426477,95.18721172527952,204.18993400852332,nll_gcc_eq_1
